Utheta:0,Utheta:1,Utheta:2,theta,arc_length
0.000266017,0,0,0.942476,0.00795
0.000266014,0,0,0.942436,0.008
0.000266012,0,0,0.942396,0.00805
0.000266008,0,0,0.942356,0.0081
0.000266006,0,0,0.942315,0.00815
0.000266003,0,0,0.942274,0.0082
0.000266,0,0,0.942232,0.00825
0.000265997,0,0,0.942191,0.0083
0.000265995,0,0,0.942148,0.00835
0.000265991,0,0,0.942106,0.0084
0.000265988,0,0,0.942062,0.00845
0.000265985,0,0,0.942019,0.0085
0.000265982,0,0,0.941975,0.00855
0.000265979,0,0,0.941931,0.0086
0.000265975,0,0,0.941887,0.00865
0.000265973,0,0,0.941841,0.0087
0.000265969,0,0,0.941795,0.00875
0.000265966,0,0,0.941749,0.0088
0.000265963,0,0,0.941703,0.00885
0.000265959,0,0,0.941656,0.0089
0.000265956,0,0,0.941609,0.00895
0.000265952,0,0,0.941561,0.009
0.000265949,0,0,0.941513,0.00905
0.000265945,0,0,0.941465,0.0091
0.00026594,0,0,0.941416,0.00915
0.000265937,0,0,0.941367,0.0092
0.000265934,0,0,0.941317,0.00925
0.000265929,0,0,0.941267,0.0093
0.000265925,0,0,0.941216,0.00935
0.000265921,0,0,0.941165,0.0094
0.000265918,0,0,0.941113,0.00945
0.000265913,0,0,0.941061,0.0095
0.00026591,0,0,0.941009,0.00955
0.000265904,0,0,0.940956,0.0096
0.000265901,0,0,0.940902,0.00965
0.000265896,0,0,0.940849,0.0097
0.000265891,0,0,0.940794,0.00975
0.000265888,0,0,0.94074,0.0098
0.000265882,0,0,0.940686,0.00985
0.000265879,0,0,0.940629,0.0099
0.000265874,0,0,0.940573,0.00995
0.000265869,0,0,0.940517,0.01
0.000265864,0,0,0.94046,0.01005
0.00026586,0,0,0.940403,0.0101
0.000265854,0,0,0.940345,0.01015
0.000265849,0,0,0.940287,0.0102
0.000265845,0,0,0.940228,0.01025
0.00026584,0,0,0.940168,0.0103
0.000265835,0,0,0.940108,0.01035
0.000265829,0,0,0.940048,0.0104
0.000265824,0,0,0.939987,0.01045
0.000265818,0,0,0.939926,0.0105
0.000265813,0,0,0.939865,0.01055
0.000265807,0,0,0.939803,0.0106
0.000265802,0,0,0.93974,0.01065
0.000265796,0,0,0.939677,0.0107
0.00026579,0,0,0.939613,0.01075
0.000265785,0,0,0.939548,0.0108
0.000265779,0,0,0.939484,0.01085
0.000265774,0,0,0.939418,0.0109
0.000265768,0,0,0.939354,0.01095
0.000265762,0,0,0.939287,0.011
0.000265755,0,0,0.93922,0.01105
0.000265749,0,0,0.939153,0.0111
0.000265743,0,0,0.939085,0.01115
0.000265736,0,0,0.939017,0.0112
0.000265729,0,0,0.938949,0.01125
0.000265724,0,0,0.938879,0.0113
0.000265717,0,0,0.93881,0.01135
0.00026571,0,0,0.938739,0.0114
0.000265704,0,0,0.938668,0.01145
0.000265696,0,0,0.938597,0.0115
0.00026569,0,0,0.938525,0.01155
0.000265682,0,0,0.938453,0.0116
0.000265675,0,0,0.93838,0.01165
0.000265668,0,0,0.938307,0.0117
0.000265661,0,0,0.938232,0.01175
0.000265654,0,0,0.938157,0.0118
0.000265646,0,0,0.938083,0.01185
0.000265639,0,0,0.938007,0.0119
0.000265632,0,0,0.937931,0.01195
0.000265624,0,0,0.937854,0.012
0.000265616,0,0,0.937777,0.01205
0.000265608,0,0,0.937699,0.0121
0.0002656,0,0,0.937621,0.01215
0.000265592,0,0,0.937542,0.0122
0.000265584,0,0,0.937462,0.01225
0.000265576,0,0,0.937382,0.0123
0.000265568,0,0,0.937301,0.01235
0.000265559,0,0,0.93722,0.0124
0.000265551,0,0,0.937138,0.01245
0.000265542,0,0,0.937055,0.0125
0.000265534,0,0,0.936972,0.01255
0.000265525,0,0,0.93689,0.0126
0.000265516,0,0,0.936805,0.01265
0.000265507,0,0,0.93672,0.0127
